,Title,Boxoffice,ReleaseYear,RTScore,AudienceScore
0,The Unbearable Weight of Massive Talent,19490586,2022,87,87
1,Prisoners of the Ghostland,NULL,2021,62,20
2,Pig,3138901,2021,96,84
3,Willy's Wonderland,388722,2021,60,68
4,The Croods: A New Age,58544525,2020,77,94
5,Jiu Jitsu,NULL,2020,28,64
6,Color Out of Space,677283,2019,86,82
7,Grand Isle,NULL,2019,0,45
8,Primal,NULL,2019,37,22
9,Kill Chain,NULL,2019,NULL,31
10,Running With the Devil,NULL,2019,24,36
11,A Score to Settle,NULL,2019,15,17
12,Between Worlds,NULL,2018,32,82
13,Spider-Man: Into the Spider-Verse,190193195,2018,97,93
14,Becoming Iconic,NULL,2018,NULL,99
15,Mandy,1233694,2018,90,67
16,Teen Titans GO! to the Movies,29553885,2018,91,71
17,211,NULL,2018,4,9
18,Looking Glass,NULL,2018,21,10
19,Looking Glass,NULL,2018,NULL,NULL
20,The Humanity Bureau,NULL,2017,25,22
21,Mom and Dad,NULL,2017,75,40
22,Vengeance: A Love Story,4526,2017,NULL,26
23,Inconceivable,NULL,2017,31,60
24,Arsenal,NULL,2017,3,17
25,USS Indianapolis: Men of Courage,NULL,2016,17,30
26,Dog Eat Dog,NULL,2016,49,19
27,Army of One,NULL,2016,25,26
28,Snowden,21562346,2016,61,70
29,The Trust,NULL,2016,63,29
30,Pay the Ghost,NULL,2015,10,25
31,The Runner,NULL,2015,24,22
32,Outcast,NULL,2014,4,22
33,Dying of the Light,NULL,2014,11,15
34,Left Behind,13998282,2014,0,4
35,Tokarev,NULL,2014,12,28
36,Joe,371897,2013,86,68
37,The Frozen Ground,NULL,2013,61,50
38,The Croods,187165546,2013,72,77
39,Can't Stand Losing You: Surviving the Police,23193,2012,39,67
40,Stolen,289773,2012,20,34
41,A Thousand Words,18438149,2012,0,47
42,Justice,NULL,2011,28,39
43,Ghost Rider: Spirit of Vengeance,51774002,2011,18,31
44,Trespass,16816,2011,11,22
45,Drive Angry,10706786,2011,48,37
46,Season of the Witch,24823283,2011,11,30
47,The Sorcerer's Apprentice,63143812,2010,40,53
48,Kick-Ass,48043505,2010,76,81
49,Bad Lieutenant: Port of Call New Orleans,1697956,2009,86,57
50,Astro Boy,19548064,2009,50,50
51,G-Force,119420252,2009,22,39
52,Knowing,79948113,2009,34,42
53,Bangkok Dangerous,15279680,2008,9,26
54,National Treasure: Book of Secrets,219961501,2007,36,67
55,Next,17993461,2007,28,53
56,Ghost Rider,115802596,2007,26,48
57,The Wicker Man,18830,2006,15,17
58,World Trade Center,70236496,2006,66,60
59,The Ant Bully,28133159,2006,62,42
60,The Weather Man,12469811,2005,59,56
61,Lord of War,24127895,2005,61,84
62,National Treasure,173001206,2004,46,76
63,Matchstick Men,36873198,2003,82,74
64,The Life of David Gale,19593740,2003,19,81
65,Sonny,17639,2002,22,41
66,Adaptation,22245861,2002,90,85
67,Windtalkers,40911830,2002,33,50
68,Christmas Carol: The Movie,NULL,2001,13,48
69,Captain Corelli's Mandolin,25528495,2001,28,50
70,Bel Air,NULL,2000,NULL,NULL
71,Shadow of the Vampire,8279017,2000,81,74
72,The Family Man,75764085,2000,53,67
73,Gone in Sixty Seconds,101643008,2000,25,77
74,Bringing Out the Dead,16640210,1999,72,70
75,8MM,36283504,1999,23,52
76,Snake Eyes,55557996,1998,40,35
77,Welcome to Hollywood,NULL,1998,NULL,60
78,City of Angels,78745923,1998,58,82
79,Face/Off,112276146,1997,92,82
80,Con Air,101111259,1997,55,75
81,The Rock,134067443,1996,68,85
82,Leaving Las Vegas,29890321,1995,89,85
83,Kiss of Death,14662444,1995,67,37
84,It Could Happen to You,37791144,1994,71,54
85,Guarding Tess,26180706,1994,56,47
86,Trapped in Paradise,5821500,1994,5,41
87,Deadfall,9183,1993,0,26
88,Amos & Andrew,9461630,1993,17,31
89,Red Rock West,NULL,1993,97,75
90,Honeymoon in Vegas,33489135,1992,65,35
91,Zandalee,NULL,1991,33,29
92,Fire Birds,14760451,1990,10,35
93,Industrial Symphony No. 1: The Dream of the Broken Hearted,NULL,1990,NULL,NULL
94,Wild at Heart,14535649,1990,68,81
95,Time to Kill,NULL,1990,NULL,20
96,Vampire's Kiss,96699,1989,58,53
97,Moonstruck,80022465,1987,94,80
98,Raising Arizona,21105043,1987,90,85
99,The Boy in Blue,235904,1986,NULL,43
100,Peggy Sue Got Married,37726832,1986,86,55
101,Racing With the Moon,NULL,1984,60,62
102,The Cotton Club,NULL,1984,77,55
103,Birdy,NULL,1984,83,84
104,Rumble Fish,NULL,1983,75,80
105,Valley Girl,NULL,1983,83,72
106,Fast Times at Ridgemont High,NULL,1982,78,80
